Shot Number,Club Name,Club Type,Shot Created Date,Ball Speed (mph),Push/Pull (deg L-/R+),Launch Angle (deg),Back Spin (rpm),Side Spin (rpm L-/R+),Total Spin (rpm),Carry (yds),Total Distance (yds),Offline (yds L-/R+),Peak Height (yds),Descent Angle (deg),Club Speed (mph),Club Speed at Impact Location (mph),Efficiency,Angle of Attack (deg),Club Path (deg out-in-/in-out+),Face to Target (deg closed-/open+),Lie (deg toe down-/toe up+),Loft (deg),Face Impact Horizontal (mm toe-/heel+),Face Impact Vertical (mm low-/high+),Closure Rate (deg/sec)
1,5i,Iron,05/30/2024 23:22:43,111.8,7.6,23.7,2784,894,2924,170.7,186.4,50,34.4,46.3,,,,,,,,,,,
2,5i,Iron,05/30/2024 23:23:46,105.1,6.3,24.3,3108,760,3200,156.4,172.7,37.2,31.9,46.2,,,,,,,,,,,
3,5i,Iron,05/30/2024 23:24:11,111.8,0.1,17.3,4892,1032,5000,157.2,170.4,17.9,26.2,43,,,,,,,,,,,
4,5i,Iron,05/30/2024 23:24:33,116.3,-1.3,19.1,4008,732,4074,172.2,187.3,12.8,31.6,45.3,,,,,,,,,,,
5,5i,Iron,05/30/2024 23:25:02,120.8,6.2,19.7,4442,1374,4650,174.8,188.3,50,34.8,47.7,,,,,,,,,,,
6,4i,Iron,05/30/2024 23:26:08,127.5,2.5,16.5,4274,-46,4274,188.9,204.3,7.8,33.5,45.4,,,,,,,,,,,
7,4i,Iron,05/30/2024 23:27:35,120.8,-8.6,10.1,3656,-709,3724,170.7,188.9,-44.7,16.8,31.3,,,,,,,,,,,
8,4i,Iron,05/30/2024 23:27:54,111.8,0.1,16.4,1767,-342,1800,176,199.6,-13.1,20.4,31.7,,,,,,,,,,,
9,4i,Iron,05/30/2024 23:28:23,125.3,0.4,21.1,3276,395,3300,194.1,211.2,14.6,39.9,47.8,,,,,,,,,,,
10,4i,Iron,05/30/2024 23:28:56,118.6,-9,11.2,3695,466,3724,172.2,189,-19,18.7,33.5,,,,,,,,,,,
11,4i,Iron,05/30/2024 23:29:22,129.7,-4.8,12.6,3453,-2390,4199,179.6,186.1,-64.1,21.5,36.3,,,,,,,,,,,
12,4i,Iron,05/30/2024 23:30:31,120.8,3,17.9,3561,-311,3575,184.5,200.8,1.8,31.8,44,,,,,,,,,,,
13,4i,Iron,05/30/2024 23:31:06,129.7,3,11.1,4200,0,4200,189.7,205.4,10.8,23.8,38.2,,,,,,,,,,,
14,4i,Iron,05/30/2024 23:31:49,134.2,-1.6,1.5,2695,756,2799,140,170.8,9.6,2.6,7.3,,,,,,,,,,,
15,4i,Iron,05/30/2024 23:32:12,111.8,3.3,16.9,2307,-744,2424,170,190.4,-12.3,22,35.2,,,,,,,,,,,
16,3w,FW,05/30/2024 23:33:21,120.8,-1.3,23.7,4287,731,4349,173.5,187.5,25.5,41.6,51,,,,,,,,,,,
17,3w,FW,05/30/2024 23:33:56,107.4,-7.7,24.2,2713,-1878,3300,152.2,158.1,-56.9,29.2,45,,,,,,,,,,,
18,3w,FW,05/30/2024 23:34:48,136.5,-2.3,17.1,2967,-211,2974,220.7,239.3,-18.3,38.4,45,,,,,,,,,,,
19,3w,FW,05/30/2024 23:36:32,132,0.1,21,3298,922,3424,202.9,219.3,32.5,43,48.8,,,,,,,,,,,
20,3w,FW,05/30/2024 23:41:33,120.8,-2.4,21.5,3899,1182,4074,177.4,192.5,21.5,37.2,48.5,,,,,,,,,,,
21,5i,Iron,05/30/2024 23:42:31,127.5,-1.5,13,4177,-783,4250,187.7,203.2,-24.7,26.3,40.5,,,,,,,,,,,
22,5i,Iron,05/30/2024 23:43:13,125.3,-3.7,10.9,4371,166,4374,180.9,196.5,-8.6,21.9,37.1,,,,,,,,,,,
23,5i,Iron,05/30/2024 23:43:48,127.5,-6.8,13.4,4539,-883,4624,185.2,199.6,-43.7,27.4,41.6,,,,,,,,,,,
24,5i,Iron,05/30/2024 23:44:10,127.5,-1.4,16.9,3916,-1124,4074,188.3,203.9,-34.4,32.6,44.9,,,,,,,,,,,
25,Dr,Driver,05/30/2024 23:47:11,129.7,-4.5,19.3,3168,923,3300,203.5,221,15.6,38.9,46.8,,,,,,,,,,,
26,Dr,Driver,05/30/2024 23:47:48,129.7,-8.9,20.8,1845,-453,1900,225.8,234.1,-58.7,38.8,42.9,,,,,,,,,,,
27,5w,FW,05/30/2024 23:50:26,129.7,-2.7,15.2,3974,-23,3974,196.9,213.3,-10.5,32.4,44,,,,,,,,,,,
28,5w,FW,05/30/2024 23:51:04,123,-1.5,20.6,5147,2074,5549,172,184.8,34.6,37.4,49.8,,,,,,,,,,,
29,5w,FW,05/30/2024 23:51:28,138.7,-4,12.4,3193,-601,3249,217.9,235.8,-38.6,29.1,39.7,,,,,,,,,,,
30,5w,FW,05/30/2024 23:52:43,120.8,5.5,28.9,3197,583,3250,181.8,197.3,37.6,51.8,53.9,,,,,,,,,,,
31,5w,FW,05/30/2024 23:53:06,132,3.3,19.2,3882,-575,3924,201.9,217.5,-4.9,42,49,,,,,,,,,,,
32,5w,FW,05/30/2024 23:53:39,134.2,4.5,18.4,3789,-519,3824,207.7,223.6,1.1,41.9,48.5,,,,,,,,,,,
33,5w,FW,05/30/2024 23:55:28,123,2,29.7,3947,129,3949,175.1,189.1,10.4,54.9,55.5,,,,,,,,,,,
34,4i,Iron,05/30/2024 23:57:08,127.5,1.8,17.7,3424,-18,3424,198.7,216.1,8.4,35.4,45.1,,,,,,,,,,,
35,3w,FW,05/31/2024 00:03:18,138.7,-3.2,11.1,4606,632,4649,202.9,217.4,6.9,28.6,42,,,,,,,,,,,
36,3w,FW,05/31/2024 00:04:18,136.5,6.5,17.9,2987,614,3049,221.6,240,55.1,40.5,46.2,,,,,,,,,,,
37,3w,FW,05/31/2024 00:05:03,136.5,0.7,12.6,3707,-365,3725,210.7,228.2,-6.9,30.2,41.6,,,,,,,,,,,
38,3w,FW,05/31/2024 00:05:34,134.2,-1.4,15.6,2875,-1345,3174,207.5,226.2,-51.4,31,41.3,,,,,,,,,,,
39,3w,FW,05/31/2024 00:06:03,118.6,2.3,21.2,3217,-461,3250,184.5,201.3,-4,36.5,46.6,,,,,,,,,,,
40,3w,FW,05/31/2024 00:06:31,132,1.9,8.2,3122,1141,3324,188.4,208.5,41.8,15.7,28.4,,,,,,,,,,,
41,3w,FW,05/31/2024 00:07:00,134.2,-1.3,15.8,2699,-44,2699,219.8,239.9,-4.7,33.5,41.5,,,,,,,,,,,
42,5w,FW,05/31/2024 00:08:48,129.7,0.9,18.6,5522,1192,5649,184,196.8,30.3,39.9,50.2,,,,,,,,,,,
43,5w,FW,05/31/2024 00:09:18,120.8,1.7,22.8,4779,444,4800,172.8,186,17.5,41.2,51,,,,,,,,,,,
44,Dr,Driver,05/31/2024 00:10:52,143.2,-4.3,16.6,2868,-188,2874,237,257.5,-25.4,41.3,45.4,,,,,,,,,,,
45,Dr,Driver,05/31/2024 00:12:02,134.2,-4.1,16.5,4497,1526,4749,197.2,211.7,26.9,36.9,47.7,,,,,,,,,,,
46,Dr,Driver,05/31/2024 00:13:26,132,-4.8,16,2335,-739,2449,215.6,236,-49.7,30.6,39.4,,,,,,,,,,,
47,Dr,Driver,05/31/2024 00:13:57,136.5,2.3,16.4,4728,1184,4874,198.2,212.7,41.6,38.2,48.2,,,,,,,,,,,
48,Dr,Driver,05/31/2024 00:14:50,143.2,-0.3,16.4,4401,654,4449,214.1,229.3,22.1,42.7,49.1,,,,,,,,,,,
49,Dr,Driver,05/31/2024 00:15:19,129.7,-2.9,17.7,6328,3163,7074,172.5,183.8,42.6,35.1,49.7,,,,,,,,,,,
50,Dr,Driver,05/31/2024 00:15:40,145.4,-2.1,16.4,2311,-1077,2550,238,254.8,-58.7,36.6,42.4,,,,,,,,,,,
51,Dr,Driver,05/31/2024 00:16:40,138.7,-1.5,8.7,4398,1793,4749,193.2,208.9,39.6,21,35.7,,,,,,,,,,,
52,Dr,Driver,05/31/2024 00:17:03,136.5,0.1,20.4,4773,1649,5050,196.4,210,44.4,46.5,52.3,,,,,,,,,,,
53,5i,Iron,05/31/2024 00:18:01,118.6,10.1,27.7,1580,252,1600,201.5,219.3,54.7,43.8,46.9,,,,,,,,,,,
54,5i,Iron,05/31/2024 00:18:42,116.3,2.1,18,2968,-2490,3874,160.9,177.6,-43.4,23.6,39.3,,,,,,,,,,,
55,5w,FW,05/31/2024 00:21:27,136.5,-3,15.4,5073,-110,5074,200.9,214.8,-11.5,38.5,48.2,,,,,,,,,,,
56,5w,FW,05/31/2024 00:22:37,134.2,1,20,5551,516,5575,190.6,203.1,18,46.2,52.2,,,,,,,,,,,
57,Dr,Driver,05/31/2024 00:23:08,127.5,-6.2,14.2,1891,-1074,2175,193.3,202.1,-55.8,20.9,31.4,,,,,,,,,,,
58,Dr,Driver,05/31/2024 00:23:54,134.2,-1,17.6,4916,1259,5075,195.4,209.1,29.8,40.3,49.6,,,,,,,,,,,
59,Dr,Driver,05/31/2024 00:24:18,143.2,0.3,17.7,3548,-97,3549,225,242.2,0.6,45.2,48.7,,,,,,,,,,,
60,Dr,Driver,05/31/2024 00:26:17,140.9,-0.1,16.2,2214,-988,2424,231.8,253.8,-46.9,33.9,40.7,,,,,,,,,,,
61,Dr,Driver,05/31/2024 00:27:12,143.2,0.4,17.4,3671,-160,3674,223.6,240.7,-1.3,44.6,48.7,,,,,,,,,,,
62,Dr,Driver,05/31/2024 00:28:26,140.9,3.8,11.4,6018,2454,6499,193,197.4,58.7,30.2,45.1,,,,,,,,,,,
63,Dr,Driver,05/31/2024 00:28:46,138.7,-10,7,2865,586,2924,204.5,226.6,-16.2,15.4,26.6,,,,,,,,,,,
64,Dr,Driver,05/31/2024 00:29:14,143.2,1.4,17.8,5091,585,5125,207.4,221.1,24,46.7,51.4,,,,,,,,,,,
65,Dr,Driver,05/31/2024 00:30:55,134.2,-2.2,5.2,2805,735,2900,184.6,208.4,16.4,10.2,20.2,,,,,,,,,,,
66,Dr,Driver,05/31/2024 00:31:24,140.9,-3,15.1,1594,-1759,2374,206,215.6,-70,23.1,32.8,,,,,,,,,,,
67,Dr,Driver,05/31/2024 00:32:09,138.7,1,16.8,3874,-22,3874,216.2,229.6,6.2,41.8,48,,,,,,,,,,,
68,Dr,Driver,05/31/2024 00:33:52,136.5,2.4,17.6,3110,636,3174,218.5,236.1,38,39.8,46.2,,,,,,,,,,,
69,Dr,Driver,05/31/2024 00:34:20,143.2,-3.8,14.5,2679,-893,2824,229.8,250.3,-53.6,33.1,41.1,,,,,,,,,,,
70,Dr,Driver,05/31/2024 00:34:51,136.5,-5.1,10.4,3173,-906,3300,208.6,227.9,-48.3,23.1,35.2,,,,,,,,,,,
71,Dr,Driver,05/31/2024 00:35:46,138.7,4.2,17.7,5502,1834,5800,196,200.5,54.6,42.9,51.3,,,,,,,,,,,
72,Dr,Driver,05/31/2024 00:36:13,140.9,2.3,16.5,5238,806,5300,205.3,218.1,32.4,43.3,50.3,,,,,,,,,,,
73,Dr,Driver,05/31/2024 00:36:33,138.7,-2.5,15.6,3516,483,3549,215.9,233.1,10.2,36.9,45,,,,,,,,,,,
74,Dr,Driver,05/31/2024 00:36:57,140.9,3.8,19,5905,1968,6224,194,198.4,53.8,46.6,53,,,,,,,,,,,
75,Dr,Driver,05/31/2024 00:37:51,140.9,-2.9,17.8,3994,218,4000,216.6,232.7,1.3,45,49.5,,,,,,,,,,,
76,Dr,Driver,05/31/2024 00:38:20,138.7,-0.8,18.7,5303,1457,5500,196,209,33.8,44.6,51.7,,,,,,,,,,,
77,Dr,Driver,05/31/2024 00:38:49,143.2,3.9,20.2,4642,1002,4749,210.3,224.7,47.7,51.9,53,,,,,,,,,,,
78,3w,FW,05/31/2024 00:40:17,143.2,-0.4,12.4,3123,-1064,3299,222.5,241.6,-39.8,29.8,40.1,,,,,,,,,,,
79,3w,FW,05/31/2024 00:40:37,134.2,6.8,21,3611,680,3674,208.2,224.4,52.7,47,50.6,,,,,,,,,,,
80,3w,FW,05/31/2024 00:41:01,129.7,-0.2,17.7,1710,-1129,2049,208,232.2,-50.7,28.2,36.9,,,,,,,,,,,
81,5i,Iron,05/31/2024 00:42:08,118.6,1.1,22.5,5865,837,5924,163.1,174.8,19.6,39.4,51.3,,,,,,,,,,,
82,5i,Iron,05/31/2024 00:42:47,114.1,6.5,21.5,4204,414,4224,167.4,181.6,32.3,34.6,47.7,,,,,,,,,,,
83,5i,Iron,05/31/2024 00:43:05,123,1.4,20.8,4392,978,4500,181,195.5,30.9,39.2,49.5,,,,,,,,,,,
84,4h,Hybrid,05/31/2024 00:46:27,118.6,5,20,3831,-377,3850,178.1,193.6,9.9,34.6,46.5,,,,,,,,,,,
85,4h,Hybrid,05/31/2024 00:46:50,123,-0.5,16.3,2160,-1741,2774,176.8,194.4,-49.8,22.2,35.2,,,,,,,,,,,
86,4h,Hybrid,05/31/2024 00:47:44,129.7,3.1,14.6,6092,-299,6099,181.6,194,7.4,32.6,46.6,,,,,,,,,,,
87,4h,Hybrid,05/31/2024 00:48:18,111.8,4.1,18.9,4129,-1106,4275,159.7,173.4,-6.8,27.6,43.5,,,,,,,,,,,
88,Dr,Driver,05/31/2024 00:49:00,143.2,2.9,18.6,4530,1428,4750,210.7,222.6,54.6,47.3,51.4,,,,,,,,,,,
89,Dr,Driver,05/31/2024 00:49:32,136.5,0.8,20.7,4522,148,4524,200.7,215.1,10.1,48.1,51.9,,,,,,,,,,,
90,Dr,Driver,05/31/2024 00:50:01,138.7,0.3,18.7,4198,930,4300,209.5,224.5,32.9,45.4,50.4,,,,,,,,,,,
91,Dr,Driver,05/31/2024 00:50:28,140.9,-4.2,15.4,1810,-849,1999,234,250.6,-59.4,29.3,36.1,,,,,,,,,,,
92,Dr,Driver,05/31/2024 00:50:49,140.9,2,20.4,6611,2654,7124,188.3,192.1,54.3,49.4,54.8,,,,,,,,,,,
93,Dr,Driver,05/31/2024 00:51:17,136.5,0.9,18.4,6176,2324,6599,186.6,198.2,49.5,42.5,52.1,,,,,,,,,,,
94,Dr,Driver,05/31/2024 00:51:59,132,-2.1,16.5,5652,2486,6175,180,192.4,41,34.1,48.1,,,,,,,,,,,
95,Dr,Driver,05/31/2024 00:53:23,138.7,0.8,18.4,4182,1194,4349,206.3,221.3,41.6,43.3,49.6,,,,,,,,,,,
